Total _Attack
3
2
0
6
2
7
0
16
8
3
8
6
5
5
8
4
4
4
2
12
4
5
5
0
2
4
5
5
11
10
2
0
9
0
2
3
5
4
11
8
8
16
8
9
7
4
8
5
12
7
9
2
3
9
11
7
9
4
5
3
8
5
1
9
10
6
9
9
3
10
11
9
7
3
8
8
7
12
9
3
0
9
8
8
11
6
4
2
7
6
5
8
6
0
10
10
3
5
5
1
6
5
5
11
14
4
8
3
7
4
11
6
9
6
2
1
4
9
8
9
0
11
7
0
9
10
3
4
2
8
8
8
10
17
5
0
1
2
6
5
6
7
3
3
2
3
6
11
4
5
1
10
9
5
0
10
1
7
10
2
10
6
3
3
4
8
4
8
9
8
2
2
10
4
5
9
6
1
2
16
9
6
7
2
0
9
3
8
3
5
10
2
9
2
8
13
4
6
2
1
4
8
6
18
8
2
3
7
7
10
13
5
8
2
2
4
9
8
7
3
8
10
3
9
10
8
6
1
5
3
9
9
13
3
2
11
7
5
10
10
1
5
12
11
1
6
7
9
7
7
3
11
8
13
7
2
13
6
4
3
10
2
3
7
6
9
13
8
5
3
8
13
10
13
9
7
7
3
11
6
18
10
0
7
18
7
9
5
12
3
1
12
9
16
14
2
4
3
8
5
23
14
5
3
1
8
3
2
8
11
2
6
7
0
6
11
7
3
2
8
8
8
8
8
8
3
9
10
6
10
6
3
0
10
0
6
6
3
6
8
4
10
3
10
10
1
2
10
10
9
7
2
0
4
6
3
12
9
11
0
3
13
7
8
5
1
8
8
6
2
12
19
1
5
3
9
17
2
15
7
3
1
2
6
9
5
13
5
3
9
7
5
9
11
2
4
1
12
10
10
3
6
5
3
6
1
3
16
2
6
9
16
12
15
8
4
3
8
19
17
12
18
3
5
6
8
11
2
7
10
2
17
8
1
14
7
4
3
8
8
9
10
9
3
4
10
12
9
5
9
6
1
7
11
13
7
10
19
2
13
14
2
8
1
7
12
3
12
10
10
4
2
4
11
9
8
11
5
3
4
15
7
17
14
11
5
11
16
6
4
2
3
8
2
8
9
3
10
6
1
3
5
11
4
8
6
2
1
8
8
7
13
5
2
1
1
8
2
2
14
6
5
5
8
1
3
1
8
1
7
5
8
10
8
3
1
8
6
6
14
7
3
1
7
9
12
4
2
4
12
14
7
10
2
12
13
1
13
7
9
21
7
1
3
6
7
8
6
7
2
1
1
9
5
11
8
2
4
7
8
13
7
7
5
2
13
8
9
7
6
2
5
6
9
2
6
5
4
1
5
9
6
5
7
1
1
6
9
2
13
11
11
2
17
10
5
13
2
8
7
6
5
10
7
5
2
2
12
9
7
10
12
3
1
9
10
6
14
5
7
24
1
8
5
1
6
11
1
13
11
9
15
6
1
1
6
9
7
11
5
6
2
12
13
9
19
7
3
1
11
10
8
5
6
10
1
9
3
5
13
1
2
1
8
10
7
17
5
1
6
7
8
6
6
7
1
1
13
8
14
8
17
5
3
2
5
11
2
5
3
4
10
13
7
18
10
2
2
11
10
3
10
7
1
1
3
8
5
1
1
